2005eq 2453705.68 17.530 .043 18.644 .088                         SWO
2005eq 2453710.69 17.712 .051 18.808 .141                         SWO
2005hc 2453661.69 17.786 .036 17.797 .066 17.785 .116             SWO
2005hc 2453664.64 17.886 .034 17.857 .042 18.051 .117             SWO
2005hc 2453668.63 18.116 .036 18.013 .053 17.999 .091             SWO
2005hc 2453670.67 18.231 .048 18.126 .060                         SWO
2005hc 2453672.73 18.400 .078 18.415 .091 18.555 .264             SWO
2005hc 2453674.76 18.466 .060 18.837 .165 18.525 .177             SWO
2005hc 2453676.74 18.516 .085             18.389 .232             SWO
2005hc 2453678.62 18.479 .084                                     SWO
2005hc 2453685.70 18.388 .049 19.035 .141 18.421 .171             SWO
2005hc 2453692.64 18.173 .043 18.914 .152 18.389 .210             SWO
2005hc 2453696.70 18.058 .038 18.885 .118 18.056 .142             SWO
2005hc 2453704.61 17.812 .035 18.491 .098                         SWO
2005hc 2453710.64 18.136 .067 19.099 .209                         SWO
2005iq 2453685.57 17.224 .021 17.292 .045 17.363 .067             SWO
2005iq 2453686.61 17.283 .022 17.280 .036 17.489 .078             SWO
2005iq 2453688.60 17.464 .027 17.389 .034 17.820 .082             SWO
2005iq 2453692.55 17.759 .057 17.963 .072 17.956 .150             SWO
2005iq 2453696.59 18.042 .034 18.524 .109 18.030 .166             SWO
2005iq 2453700.64 18.149 .046 18.943 .219 17.964 .164             SWO
2005iq 2453705.62 17.863 .032 18.841 .199 18.256 .258             SWO
2005iq 2453710.55 17.607 .037 18.678 .128 17.900 .097             SWO
2005iq 2453715.59 17.396 .032 18.689 .113 17.905 .130             SWO
2005iq 2453718.56 17.469 .022             18.203 .178             SWO
2005iq 2453721.57             18.741 .056 18.223 .060 18.011 .099 DUP
2005iq 2453732.58 18.320 .044 19.647 .429                         SWO
2005kc 2453688.55 16.107 .015 15.964 .027 16.016 .024             SWO
2005kc 2453691.56 15.717 .011 15.568 .015 15.719 .022             SWO
2005kc 2453693.56 15.593 .025 15.447 .015 15.599 .030             SWO
2005kc 2453696.51 15.682 .019 15.496 .013 15.700 .016             SWO
2005kc 2453701.56 16.090 .015 15.828 .023 15.962 .028             SWO
2005kc 2453705.51 16.327 .016 16.360 .023 16.104 .024             SWO
2005kc 2453710.51 16.351 .016 17.004 .060 16.096 .032             SWO
2005kc 2453714.53 16.139 .014 16.893 .043 15.937 .031             SWO
2005kc 2453718.52 15.900 .011 16.840 .039                         SWO
2005ke 2453691.77 15.058 .023 15.059 .061 14.940 .048             SWO
2005ke 2453692.77 14.858 .009 14.796 .011 14.727 .010             SWO
2005ke 2453693.75 14.682 .022 14.610 .014 14.530 .008             SWO
2005ke 2453696.76 14.262 .012 14.187 .010 14.120 .008             SWO
2005ke 2453697.69 14.155 .013 14.109 .007 14.047 .012             SWO
2005ke 2453700.74 14.030 .011 14.005 .009 13.948 .006             SWO
2005ke 2453701.73 14.068 .020 14.027 .011 13.956 .009             SWO
2005ke 2453704.72 14.079 .027 14.231 .013 13.968 .019             SWO
2005ke 2453705.73 14.120 .017 14.241 .015 14.030 .010             SWO
2005ke 2453709.71 14.118 .010 14.583 .025 14.070 .013             SWO
2005ke 2453710.73 14.113 .014 14.641 .013 14.138 .013             SWO
2005ke 2453714.64 14.202 .014 14.896 .012 14.355 .011             SWO
2005ke 2453715.65 14.224 .010 14.934 .019 14.399 .013             SWO
2005ke 2453717.65 14.278 .010 15.060 .018 14.541 .008             SWO
2005ke 2453718.70 14.314 .011 15.106 .011 14.640 .008             SWO
2005ke 2453721.63 14.497 .014 15.453 .006 14.934 .005 15.148 .013 DUP
2005ke 2453724.61 14.682 .017 15.772 .032 15.163 .013             SWO
2005ke 2453727.71 14.929 .016                                     SWO
2005ke 2453731.67 15.182 .028 16.572 .021 15.604 .016             SWO
2005ke 2453743.61 15.838 .006 17.560 .013 16.305 .008             DUP
2005ke 2453750.64 16.192 .005 18.115 .017 16.669 .029 16.922 .035 DUP
2005ke 2453753.57 16.265 .013 18.546 .205 16.701 .069 17.087 .203 BAA
