SN 2006ot 1107.56 18.187 046                                  SWO
SN 2006ot 1122.59 18.656 076                                  SWO
SN 2007A  1107.53 15.873 020 15.738 025                       SWO
SN 2007A  1109.53 15.835 027 15.643 028                       SWO
SN 2007A  1111.54 15.955 020            16.018 045            SWO
SN 2007A  1115.53 16.355 022 15.995 053                       SWO
SN 2007A  1120.52 16.668 032 16.498 059                       SWO
SN 2007A  1122.52 16.842 066            16.649 217            SWO
SN 2007A  1124.52 16.929 074 17.154 113                       SWO
SN 2007A  1126.53 16.901 062                                  SWO
SN 2007A  1129.53                       16.240 145            SWO
SN 2007A  1132.52 16.598 060                                  SWO
SN 2007N  1124.77 16.672 020 16.546 020 16.392 030            SWO
SN 2007N  1126.87 16.537 020            16.289 035            SWO
SN 2007N  1128.81 16.505 020 16.434 020 16.285 030            DUP
SN 2007N  1129.77 16.443 020 16.441 020 16.258 031            SWO
SN 2007N  1131.87 16.443 020                                  DUP
SN 2007N  1132.81 16.435 020 16.578 022 16.415 040            SWO
SN 2007N  1135.77 16.553 020 16.909 025 16.671 061            SWO
SN 2007N  1140.88 16.923 024            17.249 100            SWO
SN 2007N  1150.80 17.700 045 18.911 170 18.267 219            SWO
SN 2007N  1156.73 17.997 060 19.250 234 18.439 255            SWO
SN 2007N  1158.89 18.186 020                                  DUP
SN 2007N  1160.84 18.319 035 19.588 125 18.969 173            DUP
SN 2007N  1164.74 18.478 083 19.340 234 18.850 399            SWO
SN 2007N  1169.73 18.733 030 19.683 140 18.990 161            DUP
SN 2007N  1180.72 19.038 110 20.230 402                       SWO
SN 2007S  1132.76 16.395 023 16.261 026 16.352 052            SWO
SN 2007S  1137.79            15.488 020 15.605 020 15.450 020 DUP
SN 2007S  1138.77 15.557 020 15.361 020 15.537 025            SWO
SN 2007S  1139.64 15.845 020            15.721 026            SWO
SN 2007S  1140.73 15.543 020 15.358 020 15.515 021            SWO
SN 2007S  1146.83 15.991 020 15.617 020 15.737 036            SWO
SN 2007S  1150.69 16.229 020 15.944 021 15.809 031            SWO
SN 2007S  1156.66 16.362 020 16.736 033 15.930 025            SWO
SN 2007S  1158.76            16.976 020 15.995 023 15.601 020 DUP
SN 2007S  1160.69 16.101 028 17.006 020 15.968 020 15.589 020 DUP
SN 2007S  1164.68 16.008 020 16.908 035 15.793 020            SWO
SN 2007S  1169.67            16.812 020 15.733 020 15.541 020 DUP
SN 2007S  1171.73            16.767 020 15.712 020 15.540 020 DUP
SN 2007S  1175.64 15.485 020 16.534 030 15.642 024            SWO
