SN 2006ej 1018.68   20.099 100 18.705 017 17.835 010 18.135 012 19.091 032 18.151 014
SN 2006ej 1025.63   20.352 087 18.809 012 18.089 012 18.408 016 19.135 017 18.352 014
SN 2006ej 1040.60              19.012 021 18.597 016 19.094 026 19.417 036 18.703 021
SN 2006ej 1046.74              19.157 040 18.816 029 19.344 063 19.473 077 18.885 042
SN 2006et  983.63              16.862 010 16.838 014
SN 2006et  986.70   16.960 021 16.318 007 16.305 008 16.537 010 16.421 008 16.309 008
SN 2006et  988.57                         16.109 006 16.358 008 16.236 008 16.124 007
SN 2006et  991.65   16.626 018 15.935 005 15.912 007 16.312 008 16.052 008 15.920 006
SN 2006et  991.65                                               16.053 007
SN 2006et  994.72   16.664 014 15.906 006 15.821 007 16.375 007 16.035 007 15.878 006
SN 2006et  998.68   17.010 014 16.016 005 15.838 004 16.475 006 16.173 006 15.908 005
SN 2006et 1001.62   17.257 016 16.123 006 15.928 006 16.566 010 16.338 008 16.010 010
SN 2006et 1003.63   17.432 017 16.232 006 16.010 006 16.690 008 16.465 008 16.074 007
SN 2006et 1007.66   17.989 021 16.508 008 16.280 008 16.963 010 16.805 008 16.288 008
SN 2006et 1008.63   18.069 020 16.603 008                       16.898 008
SN 2006et 1012.52   18.714 052 16.918 008 16.468 006 17.015 008 17.291 012 16.591 012
SN 2006et 1012.52                                                          16.582 008
SN 2006et 1013.61   18.778 067 17.026 008 16.495 006 17.006 010 17.414 012 16.641 008
SN 2006et 1017.77   19.080 110 17.363 022 16.549 016 16.900 016 17.812 021 16.813 014
SN 2006et 1023.72 a 19.765 033 17.913 012 16.783 010 16.968 014 18.328 010 17.253 014
SN 2006et 1024.61 a 19.881 028 17.912 006 16.718 006 16.859 006 18.371 008 17.213 004
SN 2006et 1025.67   19.948 074                                  18.448 014 17.277 008
SN 2006et 1029.68   20.161 070 18.240 010 17.017 007 17.060 008 18.712 014 17.532 008
SN 2006et 1033.69              18.443 020 17.279 010 17.327 012
SN 2006et 1039.66   20.285 113 18.642 014 17.538 008 17.671 014 19.065 024 18.001 014
SN 2006et 1044.62              18.682 047 17.675 017 17.747 022 19.073 075 18.126 033
SN 2006et 1046.56   20.363 149 18.795 016 17.761 010 17.949 012 19.202 025 18.158 014
SN 2006et 1052.60   20.879 145 18.875 014 17.949 012 18.160 017 19.306 021 18.311 014
SN 2006et 1060.54   20.924 112 18.976 014 18.166 012 18.476 020 19.395 024 18.487 014
SN 2006et 1066.60   21.068 140 19.080 016 18.353 012 18.643 017 19.479 025 18.639 017
SN 2006et 1076.55   21.509 317 19.196 016 18.620 014 19.016 021            18.852 020
SN 2006et 1091.55              19.422 017 19.050 017 19.454 035 19.734 030 19.190 022
SN 2006et 1099.54              19.557 041                       20.059 129
SN 2006ev  994.57   18.784 035 17.392 007 17.180 007 17.695 012 17.596 008 17.299 008
SN 2006ev  998.55   19.350 059 17.670 007 17.425 007 18.086 012 17.971 010 17.480 008
SN 2006ev 1001.53   19.718 048 17.974 010 17.650 012 18.294 016 18.314 014 17.688 012
SN 2006ev 1003.55   19.980 050 18.196 008 17.743 010 18.323 014 18.601 016 17.816 012
SN 2006ev 1007.57   20.376 091 18.659 012 17.840 010 18.248 014 19.106 020 18.113 010
SN 2006ev 1008.53   20.571 108 18.755 010 17.864 010 18.202 014 19.207 024 18.155 012
SN 2006ev 1014.53              19.332 071 18.034 017 18.128 021 19.931 145 18.634 049
SN 2006ev 1018.54   21.243 175 19.683 020 18.398 016 18.331 017 20.088 043 18.909 018
SN 2006ev 1023.50   21.550 114 20.007 014 18.717 008 18.747 012 20.334 025 19.220 012
SN 2006ev 1023.50 a            19.975 012
SN 2006ev 1024.50 a 21.550 132            18.770 008 18.833 014 20.440 028 19.320 012
SN 2006ev 1025.53              20.085 028 18.833 017 18.926 025 20.446 050 19.339 025
SN 2006ev 1038.51              20.444 065 19.262 026 19.559 041 20.854 116 19.710 050
SN 2006fw 1001.72   19.987 034 18.822 017 18.919 010 19.141 017 19.206 012 19.191 017
SN 2006fw 1007.74   20.686 052 18.994 017 18.948 012 18.835 029 19.357 012 18.915 014
SN 2006fw 1013.69   20.935 216 19.362 022 19.205 018 19.093 034 19.741 041 19.158 025
SN 2006fw 1018.78   21.782 343 19.993 035 19.509 025 19.574 040 20.574 086 19.772 041
SN 2006fw 1025.72              20.581 024 19.765 020 19.654 029 21.280 051 20.496 050
SN 2006fw 1039.70              21.283 068 20.420 035 19.861 040 21.805 130 20.996 059
SN 2006gj  998.82   18.741 026 17.808 008 17.493 008 17.643 012 17.995 012 17.702 010
SN 2006gj 1001.86   18.961 029 17.759 014 17.416 012 17.690 014 17.983 014 17.628 014
SN 2006gj 1003.88   19.200 042 17.853 010 17.425 008 17.698 017 18.110 014 17.639 012
SN 2006gj 1007.82   19.763 051 18.155 012 17.666 010 18.075 014 18.533 020 17.839 012
SN 2006gj 1013.77              18.885 028 17.968 014 18.199 017 19.414 059 18.287 025
SN 2006gj 1029.75   21.917 288 20.419 048 19.055 017 18.905 022 20.987 131 19.690 044
SN 2006gj 1036.76              20.647 058 19.383 024 19.313 035 21.218 126 19.933 041
SN 2006gj 1038.80              20.713 064 19.469 029 19.431 040 21.289 121 19.966 044
SN 2006gj 1039.79              20.641 064 19.451 021 19.467 035 21.355 183 19.946 051
SN 2006gj 1042.69              20.638 082 19.585 035 19.579 047 21.369 254 20.146 082
SN 2006gj 1048.72              20.921 105 19.798 047 19.899 051 21.412 246 20.349 085
SN 2006gj 1052.72              21.026 081 19.927 034 19.973 042 21.603 166 20.421 069
SN 2006gj 1056.67              21.044 087 20.119 049 20.150 060 21.268 108 20.535 066
SN 2006gj 1060.72              21.055 060 20.227 040 20.187 058 21.677 173 20.596 064
SN 2006gj 1066.77              21.303 103 20.502 059 20.576 104 21.664 140 20.811 086
SN 2006gj 1069.65              21.110 101 20.534 068 20.481 088 21.544 163 20.925 112
SN 2006gj 1079.71              21.508 141 21.051 115 20.885 152 22.084 279 21.224 148
SN 2006gj 1084.70              21.522 123 21.191 094 21.171 168 21.773 132 21.178 112
SN 2006gj 1096.59              21.589 148 21.619 173 21.407 203 22.358 281 21.786 233
SN 2006hb 1013.81   17.839 021 16.260 004 15.911 005 16.401 007 16.650 007 15.946 005
SN 2006hb 1014.85                                               16.800 008 16.007 008
SN 2006hb 1017.85   18.399 033 16.798 008 16.064 012 16.322 017 17.247 012 16.294 010
SN 2006hb 1018.84   18.592 035 16.939 007 16.112 008 16.356 010 17.366 010 16.373 007
SN 2006hb 1020.87                         16.205 007 16.355 008 17.612 008 16.556 008
SN 2006hb 1025.83   19.223 037 17.634 007 16.567 006 16.533 008 18.056 008 16.973 008
SN 2006hb 1029.82   19.476 042 17.918 008 16.930 008 16.919 008 18.309 012 17.283 008
SN 2006hb 1038.84   19.802 067 18.283 008 17.422 008 17.481 010 18.665 012 17.692 010
SN 2006hb 1040.79   19.776 058 18.333 012 17.494 012 17.585 014
SN 2006hb 1042.79   19.873 079 18.391 010 17.574 010 17.667 014 18.741 017 17.837 012
SN 2006hb 1049.81   20.116 107 18.533 012 17.839 010 17.967 014 18.926 017 18.010 014
SN 2006hb 1068.79   20.612 085 18.910 010 18.534 016 18.685 017 19.272 017 18.534 016
SN 2006hb 1076.73              19.039 021 18.800 017 18.910 025 19.439 047 18.723 024
SN 2006hb 1085.70              19.216 012 19.154 018 19.193 024 19.585 022 18.975 018
SN 2006hb 1091.76              19.301 014 19.374 021 19.417 032 19.645 025 19.106 021
SN 2006hb 1096.68              19.413 017 19.555 017 19.510 029 19.728 028 19.238 021
SN 2006hb 1099.66              19.437 028 19.668 034 19.615 042 19.788 055 19.389 068
SN 2006hb 1104.74              19.535 070 19.789 067 19.700 070 19.727 090 19.331 070
SN 2006hb 1108.71              19.607 021 19.996 040 19.842 042 19.919 033 19.539 034
SN 2006hb 1119.65              19.837 014 20.307 038 20.066 057 20.141 022 19.778 032
SN 2006hb 1121.65              19.900 017 20.322 035 20.208 065 20.197 026 19.817 034
SN 2006hb 1125.60              19.938 018 20.459 047 20.201 051 20.303 028 19.916 037
SN 2006hb 1131.67              20.032 036 20.652 082 20.399 073
SN 2006hb 1133.62              20.027 058 20.568 111 20.278 102 20.440 133 19.968 104
SN 2006hb 1136.65              20.138 047 20.637 080 20.448 085 20.351 064 19.955 061
SN 2006hb 1143.58              20.275 020 20.938 068 20.551 063 20.615 033 20.245 043
SN 2006hx 1012.65                                               18.352 043 18.470 073
SN 2006hx 1013.65   18.649 056 18.193 020 18.371 033 18.080 028 18.291 029 18.671 070
SN 2006hx 1028.71   18.964 035 17.789 018 17.579 018 18.016 030 17.864 014 17.904 055
SN 2006hx 1036.68   20.044 067 18.421 017 18.000 017 18.416 043 18.633 018 18.371 070
SN 2006hx 1040.65   20.536 145 18.715 021 18.098 025 18.530 040 19.123 034 18.791 107
SN 2006hx 1049.62              20.247 137 18.517 043 18.646 056 20.349 055 19.174 071
SN 2006hx 1052.69              20.182 055 18.675 033 18.473 029 20.097 058 19.572 117
SN 2006hx 1066.67              20.645 079 19.321 048 19.173 056
