SN2008hm         51.79540  46.94421 2MFGC_02845                    Spiral         0.019664 0.000077 NED_Host_Galaxy_Name            CBET_1586                    LOSS               CBET_1594                     Ia
SN2008hs         36.37335  41.84311 NGC_910                        E+             0.017349 0.000073 NED_21-cm_or_Opt_Smallest_Error CBET_1598                    LOSS               CBET_1599                     Ia
SN2008hv        136.89178   3.39240 NGC_2765                       S0             0.012549 0.000067 NED_Host_Galaxy_Name            CBET_1601,CBET_1616          CHASE              CBET_1603,CBET_1604           Ia
SN2008hy         56.28442  76.66533 IC_334                         S?             0.008459 0.000023 NED_Host_Galaxy_Name            CBET_1608                    POSS               CBET_1610,AAVSO_392           Ia
SN2009D          58.59495 -19.18194 MCG_-03-10-52                  Sb             0.025007 0.000033 NED_Host_Galaxy_Name            CBET_1647                    LOSS               CBET_1647                     Ia
SN2009Y         220.59865 -17.24675 NGC_5728                       (R$_1$)SAB(r)a 0.009316 0.000026 NED_21-cm_or_Opt_Smallest_Error CBET_1684                    PASS,_LOSS         CBET_1688                     Ia
SN2009ad         75.88914   6.66000 UGC_3236                       Sbc            0.0284   0.000005 NED_Host_Galaxy_Name            CBET_1694                    POSS               CBET_1695                     Ia
SN2009al        162.84201   8.57833 NGC_3425                       S0             0.022105 0.00008  NED_Host_Galaxy_Name            CBET_1705                    CSS                CBET_1708                     Ia
SN2009an        185.69715  65.85145 NGC_4332                       SB(s)a         0.009228 0.000004 NED_21-cm_or_Opt_Smallest_Error CBET_1707                    Cortini+,_Paivinen CBET_1709,CBET_1710           Ia
SN2009bv        196.83538  35.78433 MCG_+06-29-39                  -999           0.036675 0.000063 NED_Host_Galaxy_Name            CBET_1741                    PIKA               CBET_1742                     Ia
SN2009dc        237.80042  25.70790 UGC_10064                      S0             0.021391 0.00007  NED_Host_Galaxy_Name            CBET_1762                    POSS               CBET_1768,CBET_1776           Iap
SN2009do        188.74310  50.85108 NGC_4537                       S              0.039734 0.00008  NED_Host_Galaxy_Name            CBET_1778,CBET_1782          LOSS,_POSS         CBET_1778                     Ia
SN2009ds        177.26706  -9.72892 NGC_3905                       SB(rs)c        0.019227 0.000021 NED_21-cm_or_Opt_Smallest_Error CBET_1784                    Itagaki            CBET_1788,CBET_1789           Ia
SN2009fw        308.07711 -19.73336 ESO_597-6                      SA(rs)0-?      0.028226 0.00011  NED_Host_Galaxy_Name            CBET_1836                    CHASE              CBET_1849                     Ia
SN2009fv        247.43430  40.81153 NGC_6173                       E              0.0293   0.00005  NED_Host_Galaxy_Name            CBET_1834                    POSS               CBET_1846                     Ia
SN2009ig         39.54843  -1.31257 NGC_1015                       SB(r)a         0.00877  0.000021 NED_Host_Galaxy_Name            CBET_1918,AAVS0_404          LOSS               CBET_1918                     Ia
SN2009im         53.34204  -4.99903 NGC_1355                       S0_sp          0.0131   0.0001   NED_Host_Galaxy_Name            CBET_1925                    Itagaki            CBET_1934                     Ia
SN2009jr        306.60846   2.90889 IC_1320                        SB(s)b?        0.016548 0.00006  NED_Host_Galaxy_Name            CBET_1964                    Arbour             CBET_1968                     Ia
SN2009kk         57.43441  -3.26447 2MFGC_03182                    -999           0.012859 0.00015  NED_Host_Galaxy_Name            CBET_1991                    CSS                CBET_1991                     Ia
SN2009kq        129.06316  28.06711 MCG_+05-21-1                   Spiral         0.011698 0.00002  NED_Host_Galaxy_Name            CBET_2005                    POSS               ATEL_2291,CBET_2011           Ia
SN2009le         32.32152 -23.41242 ESO_478-6                      Sbc            0.017792 0.000009 NED_21-cm_or_Opt_Smallest_Error CBET_2022                    CHASE              CBET_2025                     Ia
SN2009lf         30.41513  15.33290 2MASX_J02014081+151952         -999           0.045    0.002    CfA_Optical_Spectrum            CBET_2023                    CSS                CBET_2025                     Ia
SN2009na        161.75577  26.54364 UGC_5884                       SA(s)b         0.020979 0.000006 NED_21-cm_or_Opt_Smallest_Error CBET_2098                    POSS               CBET_2103                     Ia
SN2010Y         162.76658  65.77966 NGC_3392                       E?             0.01086  0.000103 NED_Host_Galaxy_Name            CBET_2168                    Cortini            CBET_2168                     Ia
PS1-10w         160.67450  58.84392 Anonymous                      -999           0.031255 0.001    R14                             R14                          PanSTARRS1         R14                           Ia
PTF10bjs        195.29655  53.81604 MCG_+09-21-83                  -999           0.030027 0.000073 NED_Host_Galaxy_Name            ATEL_2453                    PTF                ATEL_2453                     Ia
