SN2005ao        23 17 44 54.86 +61 55 53.36 16     15.221     0.004     15.264     0.061 15     14.619     0.004     14.596     0.070 17     14.495     0.004     14.547     0.102
SN2005ao        24 17 44 55.18 +61 56 15.98 19     16.213     0.003     16.253     0.101 19     15.682     0.003     15.832     0.147 19     15.649     0.006     15.482     0.214
SN2005ao        25 17 44 55.42 +61 55 52.49 16     15.951     0.005     15.940     0.087 15     15.523     0.004     15.379     0.110 17     15.453     0.006     15.241     0.184
SN2005ao        26 17 44 55.64 +61 50 44.74 19     13.727     0.002     13.736     0.025 19     13.409     0.002     13.372     0.023 19     13.261     0.002     13.228     0.033
SN2005ao        27 17 44 56.07 +61 55 47.66 19     16.869     0.003     16.715     0.147 18     16.283     0.005     16.144     0.184 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        28 17 44 57.46 +61 53 28.29 19     16.710     0.003     16.586     0.123 17     16.099     0.004     16.186     0.194 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        29 17 44 59.87 +61 51 50.54 19     14.980     0.004     15.040     0.048 13     14.585     0.006     14.628     0.060 08     14.456     0.008     14.754     0.118
SN2005ao        30 17 45 00.95 +61 52 45.61 19     16.159     0.002     16.248     0.098 18     15.864     0.004     15.737     0.130 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        31 17 45 01.98 +61 57 33.79 19     16.907     0.004     16.839     0.165 19     16.242     0.005     16.111     0.168 19     16.002     0.009     15.527     0.243
SN2005ao        32 17 45 02.67 +61 54 09.14 19     13.822     0.002     13.799     0.027 19     13.234     0.002     13.224     0.027 19     13.129     0.002     13.137     0.033
SN2005ao        33 17 45 03.30 +61 55 29.56 19     14.664     0.002     14.640     0.033 19     14.301     0.002     14.323     0.043 19     14.266     0.003     14.401     0.085
SN2005ao        34 17 45 03.32 +61 55 47.64 19     12.870     0.002     12.874     0.023 19     12.222     0.002     12.222     0.023 19     12.108     0.002     12.104     0.022
SN2005ao        35 17 45 04.60 +61 57 24.68 19     12.458     0.002     12.489     0.023 19     11.894     0.002     11.935     0.023 19     11.804     0.002     11.788     0.019
SN2005ao        36 17 45 04.90 +61 54 13.82 19     16.487     0.003     16.398     0.121 19     15.829     0.003     15.893     0.157 19     15.680     0.006     15.346     0.200
SN2005ao        37 17 45 05.72 +61 52 37.51 18     16.561     0.003     16.759     0.151 19     16.037     0.004     16.280     0.205 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        38 17 45 07.25 +61 54 27.83 19     16.367     0.003     16.329     0.105 19     15.747     0.004     15.896     0.155 19     15.457     0.006     15.368     0.203
SN2005ao        39 17 45 08.07 +61 53 09.34 19     13.609     0.002     13.557     0.025 19     13.132     0.002     13.109     0.026 19     13.015     0.002     13.073     0.032
SN2005ao        40 17 45 08.96 +61 51 56.38 19     15.541     0.002     15.577     0.053 19     15.185     0.003     15.304     0.091 19     15.054     0.004     15.119     0.152
SN2005ao        41 17 45 09.81 +61 54 36.14 19     16.415     0.003     16.578     0.132 19     15.741     0.003     15.706     0.127 19     15.523     0.005     15.249     0.174
SN2005ao        42 17 45 10.36 +61 52 20.91 19     14.394     0.002     14.415     0.029 19     14.086     0.002     14.066     0.041 18     14.009     0.003     14.000     0.062
SN2005ao        43 17 45 10.76 +61 57 33.81 19     14.504     0.002     14.556     0.033 18     14.149     0.002     14.186     0.036 18     14.137     0.003     14.223     0.073
SN2005ao        44 17 45 11.49 +61 55 37.99 19     15.798     0.002     15.741     0.078 19     15.106     0.003     15.079     0.076 18     14.966     0.004     14.896     0.126
SN2005ao        45 17 45 11.95 +61 53 49.79 -9 -99999.    -9999.    -99999.    -9999.    -9 -99999.    -9999.    -99999.    -9999.    08     15.347     0.013     15.080     0.156
SN2005ao        46 17 45 12.32 +61 51 36.70 19     15.236     0.002     15.326     0.049 19     14.792     0.002     14.859     0.063 18     14.654     0.003     14.715     0.119
SN2005ao        47 17 45 12.83 +61 56 29.73 -9 -99999.    -9999.    -99999.    -9999.    19     16.055     0.004     16.290     0.193 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        48 17 45 12.87 +61 52 22.46 19     16.532     0.003     16.482     0.118 19     16.139     0.005     16.290     0.207 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        49 17 45 14.01 +61 51 45.62 18     16.633     0.003     16.661     0.131 17     15.999     0.004     16.093     0.176 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        50 17 45 14.28 +61 51 24.93 17     13.563     0.002     13.593     0.027 17     13.337     0.002     13.274     0.030 17     13.232     0.002     13.328     0.035
SN2005ao        51 17 45 14.62 +61 51 01.20 16     15.569     0.003     15.532     0.054 16     15.038     0.003     15.025     0.077 17     14.712     0.005     14.882     0.133
SN2005ao        52 17 45 14.93 +61 52 00.71 17     15.067     0.002     15.154     0.043 17     14.479     0.002     14.474     0.047 17     14.281     0.003     14.203     0.069
SN2005ao        53 17 45 18.25 +61 57 00.72 15     16.696     0.004     17.111     0.211 15     16.125     0.004     16.107     0.190 15     15.873     0.008     15.588     0.247
SN2005ao        54 17 45 19.66 +61 54 22.64 15     16.547     0.003     16.583     0.127 15     15.917     0.004     15.980     0.157 -9 -99999.    -9999.    -99999.    -9999.
SN2005bl        01 12 03 57.18 +20 27 55.94 17     17.107     0.005     17.069     0.187 17     16.384     0.006     15.938     0.153 -9 -99999.    -9999.    -99999.    -9999.
SN2005bl        02 12 03 58.70 +20 23 06.82 19     15.359     0.002     15.437     0.053 18     14.723     0.003     14.699     0.046 18     14.491     0.003     14.675     0.089
SN2005bl        03 12 04 01.01 +20 21 57.84 20     16.381     0.003     16.354     0.100 18     15.781     0.004     15.710     0.118 16     15.535     0.005     15.166     0.139
SN2005bl        04 12 04 03.14 +20 27 05.48 21     15.064     0.002     15.004     0.041 17     14.408     0.003     14.451     0.045 19     14.301     0.003     14.312     0.064
SN2005bl        05 12 04 04.87 +20 27 58.63 19     16.552     0.003     16.485     0.110 17     16.020     0.005     16.020     0.163 15     15.942     0.008     15.555     0.189
SN2005bl        06 12 04 05.90 +20 25 57.32 20     16.061     0.002     16.014     0.074 18     15.615     0.003     15.516     0.103 18     15.511     0.005     15.484     0.171
SN2005bl        07 12 04 07.65 +20 26 53.47 20     16.718     0.003     16.765     0.143 17     16.377     0.005     16.270     0.191 -9 -99999.    -9999.    -99999.    -9999.
SN2005bl        08 12 04 08.35 +20 23 27.76 -9 -99999.    -9999.    -99999.    -9999.    -9 -99999.    -9999.    -99999.    -9999.    10     14.001     0.006     14.002     0.071
SN2005bl        09 12 04 09.41 +20 20 52.48 -9 -99999.    -9999.    -99999.    -9999.    -9 -99999.    -9999.    -99999.    -9999.    07     11.953     0.009     11.732     0.052
SN2005bl        10 12 04 11.30 +20 24 35.36 -9 -99999.    -9999.    -99999.    -9999.    -9 -99999.    -9999.    -99999.    -9999.    07     12.037     0.010     11.752     0.053
SN2005bl        11 12 04 13.80 +20 23 26.17 24     12.502     0.003     12.450     0.025 23     12.043     0.003     12.042     0.021 21     11.991     0.003     11.981     0.020
SN2005bl        12 12 04 14.39 +20 22 51.59 24     13.283     0.003     13.296     0.025 23     12.799     0.003     12.810     0.024 21     12.654     0.003     12.693     0.028
SN2005bl        13 12 04 16.05 +20 26 36.51 22     14.984     0.002     15.063     0.038 19     14.381     0.003     14.395     0.040 18     14.188     0.003     14.196     0.055
SN2005bl        14 12 04 17.00 +20 26 43.17 -9 -99999.    -9999.    -99999.    -9999.    -9 -99999.    -9999.    -99999.    -9999.    06     14.369     0.019     14.498     0.088
SN2005bl        15 12 04 17.22 +20 25 49.72 19     16.778     0.005     17.346     0.241 17     15.883     0.005     15.948     0.162 20     15.196     0.005     15.222     0.131
SN2005bl        16 12 04 17.89 +20 27 04.90 21     16.628     0.003     16.502     0.112 17     16.006     0.004     16.188     0.171 19     15.855     0.006     15.863     0.247
SN2005bl        17 12 04 21.29 +20 22 25.12 20     16.248     0.003     16.401     0.109 19     15.591     0.003     15.529     0.105 18     15.414     0.005     15.329     0.148
SN2005bl        18 12 04 23.03 +20 21 15.53 23     13.692     0.003     13.712     0.026 22     13.119     0.003     13.119     0.029 20     12.913     0.003     12.942     0.026
SN2005bl        19 12 04 24.76 +20 26 56.44 21     16.185     0.003     16.169     0.088 16     15.673     0.004     15.708     0.112 18     15.453     0.005     15.366     0.153
SN2005bl        20 12 04 24.98 +20 22 40.64 17     16.744     0.006     16.841     0.152 12     16.125     0.009     16.266     0.193 -9 -99999.    -9999.    -99999.    -9999.
SN2005bl        21 12 04 26.47 +20 21 01.25 21     15.763     0.003     15.840     0.072 17     15.482     0.003     15.489     0.100 18     15.362     0.005     15.380     0.160
SN2005bl        22 12 04 26.79 +20 22 02.42 17     16.514     0.004     16.568     0.117 16     16.034     0.005     16.067     0.159 15     15.911     0.008     15.889     0.253
SN2005bo        01 12 49 26.53 -11 07 25.95 16     13.967     0.002     13.991     0.026 16     13.267     0.002     13.306     0.030 14     13.114     0.003     13.165     0.033
SN2005bo        02 12 49 27.09 -11 09 29.18 16     14.716     0.003     14.706     0.037 16     14.087     0.003     14.074     0.026 13     13.795     0.003     13.824     0.050
SN2005bo        03 12 49 31.90 -11 04 17.45 17     14.454     0.002     14.456     0.033 19     14.065     0.002     14.099     0.037 15     13.997     0.002     13.955     0.060
SN2005bo        04 12 49 32.24 -11 06 05.66 13     16.475     0.004     16.394     0.116 18     15.818     0.004     15.859     0.150 14     15.584     0.007     15.417     0.221
SN2005bo        05 12 49 33.42 -11 07 10.53 19     15.189     0.002     15.136     0.057 19     14.552     0.002     14.478     0.046 14     14.313     0.003     14.298     0.088
SN2005bo        06 12 49 34.38 -11 06 17.00 19     14.737     0.002     14.729     0.038 19     14.079     0.002     14.041     0.037 14     13.850     0.003     13.771     0.050
SN2005bo        07 12 49 34.40 -11 07 18.80 19     14.962     0.002     14.921     0.034 19     14.325     0.002     14.291     0.026 14     14.094     0.003     14.154     0.070
SN2005bo        08 12 49 34.46 -11 05 39.21 19     13.696     0.002     13.670     0.026 19     13.060     0.002     13.052     0.027 16     12.816     0.002     12.812     0.030
SN2005bo        09 12 49 34.88 -11 05 02.89 19     14.853     0.002     14.812     0.042 19     14.423     0.002     14.414     0.059 15     14.354     0.003     14.569     0.088
SN2005bo        10 12 49 35.01 -11 07 35.71 19     13.788     0.002     13.735     0.026 19     13.093     0.002     13.090     0.027 16     12.890     0.002     12.931     0.030
SN2005bo        11 12 49 35.62 -11 06 56.38 19     14.300     0.002     14.320     0.032 19     13.632     0.002     13.600     0.029 16     13.424     0.002     13.375     0.049
SN2005bo        12 12 49 35.81 -11 09 24.78 13     16.860     0.005     16.862     0.171 16     16.309     0.007     16.181     0.186 15     15.997     0.009     15.656     0.240
SN2005bo        13 12 49 37.07 -11 03 58.00 14     16.594     0.004     16.589     0.140 16     16.163     0.006     16.355     0.211 -9 -99999.    -9999.    -99999.    -9999.
SN2005bo        14 12 49 38.00 -11 02 27.38 19     12.881     0.002     12.840     0.026 19     12.363     0.002     12.345     0.024 14     12.296     0.002     12.259     0.024
SN2005bo        15 12 49 38.04 -11 06 03.71 19     15.513     0.002     15.546     0.059 18     15.169     0.003     15.204     0.082 14     15.127     0.005     15.105     0.162
SN2005bo        16 12 49 38.81 -11 05 52.65 14     16.553     0.004     16.602     0.135 18     16.032     0.006     16.171     0.179 -9 -99999.    -9999.    -99999.    -9999.
SN2005bo        17 12 49 40.14 -11 09 00.57 19     14.811     0.002     14.853     0.038 19     14.233     0.002     14.231     0.044 14     13.926     0.003     14.064     0.064
SN2005bo        18 12 49 41.20 -11 06 57.69 19     15.869     0.002     15.888     0.092 19     15.270     0.003     15.292     0.079 16     15.082     0.005     14.960     0.123
SN2005bo        19 12 49 41.86 -11 06 51.15 17     16.175     0.003     16.108     0.082 18     15.786     0.004     15.790     0.129 -9 -99999.    -9999.    -99999.    -9999.
SN2005bo        20 12 49 45.10 -11 02 04.45 14     16.390     0.004     16.327     0.105 18     15.800     0.005     15.727     0.136 -9 -99999.    -9999.    -99999.    -9999.
SN2005bo        21 12 49 47.95 -11 07 43.06 19     14.677     0.002     14.713     0.037 19     14.228     0.002     14.234     0.039 17     14.128     0.003     14.218     0.071
SN2005bo        22 12 49 48.98 -11 02 43.73 20     13.848     0.002     13.867     0.034 19     13.437     0.002     13.477     0.031 10     13.423     0.004     13.358     0.044
SN2005bo        23 12 49 49.76 -11 05 13.72 15     16.751     0.004     16.648     0.130 16     16.396     0.007     16.035     0.163 -9 -99999.    -9999.    -99999.    -9999.
SN2005bo        24 12 49 49.85 -11 06 46.47 20     11.304     0.002     11.331     0.027 19     10.999     0.002     10.980     0.022 17     10.964     0.002     10.948     0.023
SN2005bo        25 12 49 49.88 -11 09 30.30 19     13.252     0.002     13.291     0.026 19     12.879     0.002     12.913     0.025 16     12.798     0.002     12.836     0.029
SN2005bo        26 12 49 52.09 -11 02 53.99 20     13.324     0.002     13.331     0.027 19     12.962     0.002     12.993     0.029 11     12.947     0.004     12.845     0.026
